scenario,case,step_index,sweep_x,sweep_key,sweep_xlabel,gt_C_MD,mean_cov_C_MD,median_cov_C_MD,n_rel_err_C_MD,mean_rel_err_C_MD,median_rel_err_C_MD,std_rel_err_C_MD,p90_rel_err_C_MD,max_rel_err_C_MD,n_abs_err_C_MD,mean_abs_err_C_MD,median_abs_err_C_MD,std_abs_err_C_MD,p90_abs_err_C_MD,max_abs_err_C_MD
fanning_sticks_1500,fanning_sticks_1500_span50,6,50.0,fanning_span,Fan span [deg],0.0016225868556239594,-0.025946606076969858,0.005938271181115942,100,64.32914128362812,45.2775001649903,72.04108529760721,122.07373600453039,526.3924424020779,100,0.10437961908039156,0.07346667662322492,0.11689291806878192,0.1980752394578603,0.8541174579414037
fanning_sticks_1500,fanning_sticks_1500_span70,8,70.0,fanning_span,Fan span [deg],0.0015912518033058315,-0.006432884979214992,0.01793116485323098,100,63.692736332150524,54.50950985842512,56.577322482477015,111.65575407070827,363.29953492804935,100,0.10135118154601738,0.08673835585953596,0.0900287664264571,0.17767242001448696,0.5781010400944284
fanning_sticks_1500,fanning_sticks_1500_span80,9,80.0,fanning_span,Fan span [deg],0.0015752939748920715,-0.0037178870842568064,0.013275248966336719,100,61.1883396801214,57.433981824771706,42.36400967350324,110.75496618018806,207.87762330194195,100,0.09638962283174468,0.09047540552262362,0.06673576919093908,0.17447163091302542,0.32746836750243286
fanning_sticks_1500,fanning_sticks_1500_span10,2,10.0,fanning_span,Fan span [deg],0.0016032263039153264,0.003750202523726936,0.033491509353158214,100,60.9848146434278,47.85485324569577,54.286013643571664,109.01142861919168,327.8762699012488,100,0.09777245897574405,0.07672215949350719,0.08703276500808038,0.17476998978967612,0.5256598603353231
fanning_sticks_1500,fanning_sticks_1500_span60,7,60.0,fanning_span,Fan span [deg],0.0014749069812135284,0.0020144919964337703,0.023686122006340612,100,60.85773111772253,44.68680914812971,62.30067946803419,124.57421621135269,309.6505544706376,100,0.08975949248634477,0.06590888678073308,0.09188770708174997,0.18373538116932758,0.45670576452538336
fanning_sticks_1500,fanning_sticks_1500_span20,3,20.0,fanning_span,Fan span [deg],0.0014566811028916445,0.000656191950252704,0.024213394973947096,100,58.02535621690595,43.642161083347425,59.56046789514598,102.76519289022215,472.40327816940805,100,0.0845244398897231,0.06357271133946532,0.08676060806224364,0.1496961145182014,0.6881409282534416
spheres_2,spheres_csf_1500_w0.10,2,0.1,spheres_w,Half-width [um2/ms],0.001699549165559016,0.08729097912712355,0.0929864572476144,100,51.343150040241426,53.71242558436329,18.758850907722376,75.16794236745739,86.54582931421807,100,0.08726020780806368,0.09128690808205538,0.03188158940706555,0.1277516137274004,0.14708889199359235
demyelination_progressive_sticks,demyelination_progressive_sticks_end0.26,5,0.26,demyelination,End D_perp [um2/ms],0.002334594837919945,-0.006177825800064703,0.020912028672186868,100,43.067855513335225,36.28655756881901,41.43143842941949,82.25329022029977,219.37116005056953,100,0.10054599316171445,0.08471440998604977,0.09672562228492076,0.19202810675024296,0.5121427778425697
packed_crossings_conserved_2,crossing_angle20_frac50_50,1,20.0,crossing_angle,Crossing angle [deg],0.004178078870229172,-0.02207731378595573,0.00898353585385987,100,22.02436386188575,17.7061760980192,18.347788110991072,48.7758644981001,89.01405346000334,100,0.09201952928158386,0.07397780022769082,0.07665850582197381,0.2037894088366732,0.37190773591468984
packed_crossings_conserved_2,crossing_angle44_frac50_50,4,44.0,crossing_angle,Crossing angle [deg],0.004406349787343384,-0.005165253887755295,0.035910369701889724,100,21.78901604776183,18.276818715379903,28.11176422066606,33.79331565497676,251.0439621069743,100,0.09601002622847693,0.08053405625982782,0.12387026629557922,0.1489051692499347,1.1061875090439066
packed_crossings_conserved_2,crossing_angle68_frac50_50,7,68.0,crossing_angle,Crossing angle [deg],0.004359618697507341,-0.018350546157573863,0.0038611114579266653,100,21.476890757163186,16.642017275487063,28.81167013572089,41.670787032461476,258.11640020758534,100,0.09363105450925124,0.07255284967845357,0.12560789583010265,0.18166874228656552,1.1252890844782768
packed_crossings_conserved_2,crossing_angle84_frac50_50,9,84.0,crossing_angle,Crossing angle [deg],0.004256244902653495,-0.026582976270515767,0.0072364930744850346,100,21.184132256789113,13.514744808810526,24.109405578636572,47.579534241097,162.03658282178225,100,0.09016485493509614,0.05752206370316258,0.10261553460007763,0.20251015008429651,0.6896673796786015
packed_crossings_conserved_2,crossing_angle60_frac50_50,6,60.0,crossing_angle,Crossing angle [deg],0.004284083339898281,-0.016703220707332423,0.008792959285241434,100,21.176645423553126,15.36146742697098,22.09625240653642,36.38135804101385,138.23154242625702,100,0.09072251385397713,0.06580980668027649,0.09466218680902996,0.15586076986638175,0.59219544795677
packed_crossings_conserved_2,crossing_angle28_frac50_50,2,28.0,crossing_angle,Crossing angle [deg],0.004146245945962268,-0.024184302287761864,0.003983704154985697,100,21.030110397565014,16.35300361277467,19.29051246388819,46.76146404577878,84.18393935192695,100,0.08719600997904291,0.06780357493377331,0.07998320909893102,0.19388453072707063,0.3490473172530606
spheres_2,spheres_csf_1500_w0.15,3,0.15,spheres_w,Half-width [um2/ms],0.003832387296818061,0.07769519185440414,0.08419312933002081,100,20.78393624739464,21.68213961679069,7.706920033298017,31.071007709271402,38.434349666123246,100,0.07965209325239166,0.08309435643522425,0.029535902433203944,0.11907613524434776,0.1472953134219142
packed_crossings_conserved_2,crossing_angle76_frac50_50,8,76.0,crossing_angle,Crossing angle [deg],0.004242136114741828,0.0011777273407802325,0.026437683090273473,100,19.899957187710555,15.590316371288836,21.327787189410632,35.9610946307867,164.6302706804109,100,0.08441832706780314,0.06613624411889513,0.09047537628372694,0.15255185825890868,0.6983840168330937
demyelination_progressive_sticks,demyelination_progressive_sticks_end0.30,6,0.3,demyelination,End D_perp [um2/ms],0.0035084459201586253,0.02369782719994561,0.0397928193948516,100,19.466665538022333,15.255400248512654,16.632130995459782,38.924308166254036,102.56560771096184,100,0.06829774328596697,0.053522746762281095,0.058352932134564696,0.13656383018089102,0.35984588792211414
packed_crossings_conserved_2,crossing_angle36_frac50_50,3,36.0,crossing_angle,Crossing angle [deg],0.004317203987528671,-0.003129013412204086,0.017889736343619664,100,18.024042540388223,15.535601044349615,14.497226228370236,40.287719053937174,69.72995058872226,100,0.07781346832675044,0.06707035877732075,0.06258748288122522,0.1739303013480924,0.301038420731809
packed_crossings_conserved_2,crossing_angle90_frac50_50,10,90.0,crossing_angle,Crossing angle [deg],0.004397506985902228,-0.00847454256897439,0.007431501796958404,100,17.84880182303132,14.934460117830422,14.527266686307959,37.89454478099373,66.41937545049804,100,0.07849023070676465,0.06567439269883749,0.06388375673910396,0.16664152540200475,0.29207966754282805
packed_crossings_conserved_2,crossing_angle52_frac50_50,5,52.0,crossing_angle,Crossing angle [deg],0.004325096576346898,0.0027382140594200046,0.01562131641158185,100,17.272905181742573,14.334865789583315,12.986631711210277,34.21775178746147,65.92069769787089,100,0.07470698306511939,0.061999678948919064,0.056168436352433626,0.14799508110623752,0.28511338392346025
demyelination_progressive_sticks,demyelination_progressive_sticks_end0.34,7,0.34,demyelination,End D_perp [um2/ms],0.004823861641645486,0.0225871716330998,0.04432870759646451,100,14.6088487758396,12.856134662746221,10.009727931638382,27.199128176750815,53.54088368891978,100,0.07047106523837227,0.06201621485945043,0.048285542612737806,0.1312048310980272,0.2582738150867826
iso_uni_gauss_2,iso_uni2.60,10,2.6,iso_uni,E[D_iso] [um2/ms],0.009408140033748232,0.1409985037198413,0.14092947284094876,100,13.986862782022921,13.97952542536742,0.9205428142968257,15.117282229720473,16.44828429343671,100,0.13159036368609306,0.13152133280720052,0.00866059570396523,0.14222550814690393,0.15474776194755416
iso_uni_gauss_2,iso_uni2.35,9,2.35,iso_uni,E[D_iso] [um2/ms],0.009692645724834534,0.139272352333657,0.13982266003558141,100,13.368868551216401,13.425644349852512,1.326434441210248,14.90174568918453,16.17809210291506,100,0.12957970660882245,0.1301300143107469,0.012856659115869792,0.14443734164684588,0.15680851525729897
demyelination_progressive_sticks,demyelination_progressive_sticks_end0.38,8,0.38,demyelination,End D_perp [um2/ms],0.006304659834417279,0.014223810514223133,0.0388372950579845,100,12.910581047131407,11.284964899745294,9.896263810790089,22.12573306826219,57.96831776723004,100,0.08139682176683834,0.07114786493623299,0.06239257695868555,0.13949522058251082,0.3654705246957928
spheres_2,spheres_csf_1500_w0.20,4,0.2,spheres_w,Half-width [um2/ms],0.006570458324407659,0.0871134473778036,0.09251476231795175,100,12.760996413225644,13.151281357051122,4.460275897326385,18.488242067150676,21.72963273843726,100,0.08384559511101472,0.0864099460690638,0.029306056898742987,0.12147622399377402,0.1427736463125863
